query;type;all_targets_exact;target_recall;mrr;time_sec;targets;predictions
где находится Добавить;single;True;1.0;1.0;0.4185;"[{""text"": ""Добавить"", ""normalized_text"": ""добавить"", ""target_pages"": [7, 9, 11, 16, 20, 21, 25, 26, 27, 34, 35, 39], ""ui_type"": ""button""}]";"[{""text"": ""Добавить"", ""normalized_text"": ""добавить"", ""page"": 35, ""ui_type"": ""button"", ""score"": 1.2052307367324828, ""final_score"": 4.360461473464966, ""siamese_score"": -0.1947692632675171, ""eval_score"": 15.360461473464966}]"
где находится ГОСТы;single;True;1.0;1.0;0.2590;"[{""text"": ""ГОСТы"", ""normalized_text"": ""госты"", ""target_pages"": [1, 3, 5, 7, 8, 14, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""ГОСТы"", ""normalized_text"": ""гостыы"", ""page"": 7, ""ui_type"": ""hyperlink"", ""score"": 1.3624807313084601, ""final_score"": 4.6749614626169205, ""siamese_score"": -0.037519268691539764, ""eval_score"": 9.67496146261692}]"
где кнопка Заявки на контроль;single;True;1.0;1.0;0.2680;"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""target_pages"": [1, 3, 5, 7, 14, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Заявки на контроль"", ""normalized_text"": ""заявки на контроль"", ""page"": 14, ""ui_type"": ""hyperlink"", ""score"": 1.5241360455751418, ""final_score"": 4.998272091150284, ""siamese_score"": 0.1241360455751419, ""eval_score"": 15.998272091150284}]"
покажи Входной контроль;single;False;0.0;0.0;0.2383;"[{""text"": ""Входной контроль"", ""normalized_text"": ""входной контроль"", ""target_pages"": [1, 3, 5, 7, 24], ""ui_type"": ""sidebar_item""}]";"[{""text"": ""АРМ Входной контроль; Создать:"", ""normalized_text"": ""арм входной контроль создать"", ""page"": 14, ""ui_type"": ""button"", ""score"": 1.2233849465847015, ""final_score"": 3.9967698931694033, ""siamese_score"": 0.22338494658470154, ""eval_score"": 8.996769893169404}]"
покажи Группы прочности;single;True;1.0;1.0;0.4595;"[{""text"": ""Группы прочности"", ""normalized_text"": ""группы прочности"", ""target_pages"": [1, 3, 5, 14], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5324600428342818, ""final_score"": 5.014920085668564, ""siamese_score"": 0.13246004283428192, ""eval_score"": 16.014920085668564}, {""text"": ""Группы прочности."", ""normalized_text"": ""группы прочности"", ""page"": 5, ""ui_type"": ""hyperlink"", ""score"": 1.5289850175380706, ""final_score"": 5.007970035076141, ""siamese_score"": 0.12898501753807068, ""eval_score"": 16.00797003507614}]"
покажи Показатели контроля;single;True;1.0;1.0;0.8685;"[{""text"": ""Показатели контроля"", ""normalized_text"": ""показатели контроля"", ""target_pages"": [1, 5, 7, 24], ""ui_type"": ""button""}]";"[{""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.475660727918148, ""final_score"": 4.901321455836296, ""siamese_score"": 0.07566072791814804, ""eval_score"": 15.901321455836296}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.539340505003929, ""final_score"": 2.5286810100078583, ""siamese_score"": 0.13934050500392914, ""eval_score"": 13.528681010007858}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.5042368710041045, ""final_score"": 2.4584737420082092, ""siamese_score"": 0.10423687100410461, ""eval_score"": 13.45847374200821}, {""text"": ""Показатепи контроля"", ""normalized_text"": ""показатели контроля"", ""page"": 7, ""ui_type"": ""button"", ""score"": 1.4909173861145972, ""final_score"": 2.4318347722291946, ""siamese_score"": 0.09091738611459732, ""eval_score"": 13.431834772229195}]"
где находится Акты входного контроля;single;True;1.0;1.0;0.2471;"[{""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""target_pages"": [1, 7, 24], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Акты входного контроля"", ""normalized_text"": ""акты входного контроля"", ""page"": 24, ""ui_type"": ""hyperlink"", ""score"": 1.6610274255275725, ""final_score"": 5.272054851055145, ""siamese_score"": 0.26102742552757263, ""eval_score"": 16.272054851055145}]"
найди элемент Виды контроля;single;True;1.0;1.0;0.2689;"[{""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""target_pages"": [1, 18], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Виды контроля"", ""normalized_text"": ""виды контроля"", ""page"": 1, ""ui_type"": ""hyperlink"", ""score"": 1.4563365221023559, ""final_score"": 4.862673044204712, ""siamese_score"": 0.05633652210235596, ""eval_score"": 15.862673044204712}]"
где находится Еще;single;True;1.0;1.0;0.2539;"[{""text"": ""Еще"", ""normalized_text"": ""еще"", ""target_pages"": [2, 4, 6, 7, 8, 9, 11, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 29, 34, 35, 36, 37, 38, 39, 40], ""ui_type"": ""button""}]";"[{""text"": ""Еще"", ""normalized_text"": ""еще"", ""page"": 25, ""ui_type"": ""button"", ""score"": 1.7420730233192443, ""final_score"": 5.434146046638489, ""siamese_score"": 0.3420730233192444, ""eval_score"": 16.43414604663849}]"
найди элемент Номер;single;True;1.0;1.0;0.6091;"[{""text"": ""Номер"", ""normalized_text"": ""номер"", ""target_pages"": [11, 15, 16, 19, 20, 21, 22, 25, 26, 34, 36, 37, 38, 39, 40], ""ui_type"": ""hyperlink""}]";"[{""text"": ""Номер:"", ""normalized_text"": ""номер"", ""page"": 34, ""ui_type"": ""hyperlink"", ""score"": 1.87029772400856, ""final_score"": 5.69059544801712, ""siamese_score"": 0.4702977240085602, ""eval_score"": 16.69059544801712}, {""text"": ""Номер:"", ""normalized_text"": ""номер"", ""page"": 34, ""ui_type"": ""hyperlink"", ""score"": 1.8493739008903503, ""final_score"": 5.648747801780701, ""siamese_score"": 0.44937390089035034, ""eval_score"": 16.6487478017807}, {""text"": ""Номер:"", ""normalized_text"": ""номер"", ""page"": 34, ""ui_type"": ""hyperlink"", ""score"": 1.6072223871946334, ""final_score"": 5.164444774389267, ""siamese_score"": 0.20722238719463348, ""eval_score"": 16.164444774389267}]"
